created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2018-08-30 19:02:52 +0200,187,93.73,750,58.16,,980.10,3,25.78,
2018-08-30 19:02:58 +0200,188,92.80,751,58.17,,980.10,3,25.78,
2018-08-30 19:03:05 +0200,189,93.52,751,58.24,,980.12,3,25.78,
2018-08-30 19:03:11 +0200,190,94.25,751,58.29,,980.12,4,25.78,
2018-08-30 19:03:18 +0200,191,94.25,751,58.33,,980.10,3,25.80,
2018-08-30 19:03:24 +0200,192,94.68,751,58.40,,980.10,4,25.80,
2018-08-30 19:03:31 +0200,193,95.21,751,58.40,,980.12,3,25.80,
2018-08-30 19:03:37 +0200,194,95.21,752,58.45,,980.12,3,25.77,
2018-08-30 19:03:44 +0200,195,94.17,753,58.50,,980.12,3,25.78,
2018-08-30 19:03:50 +0200,196,94.70,754,58.56,,980.10,3,25.80,
2018-08-30 19:03:57 +0200,197,95.02,754,58.55,,980.10,3,25.78,
2018-08-30 19:04:03 +0200,198,94.96,754,58.66,,980.10,4,25.80,
2018-08-30 19:04:10 +0200,199,95.28,755,58.67,,980.14,3,25.81,
2018-08-30 19:04:16 +0200,200,94.54,756,58.73,,980.14,3,25.78,
2018-08-30 19:04:23 +0200,201,95.61,756,58.81,,980.14,3,25.78,
2018-08-30 19:04:30 +0200,202,95.07,757,58.85,,980.16,3,25.78,
2018-08-30 19:04:37 +0200,203,94.75,757,58.92,,980.10,3,25.80,
2018-08-30 19:04:43 +0200,204,95.07,757,59.00,,980.10,4,25.77,
2018-08-30 19:04:50 +0200,205,95.07,757,59.10,,980.10,3,25.78,
2018-08-30 19:04:56 +0200,206,96.04,757,59.08,,980.12,4,25.76,
2018-08-30 19:05:03 +0200,207,96.82,757,59.18,,980.12,3,25.77,
2018-08-30 19:05:10 +0200,208,95.93,757,59.26,,980.12,3,25.76,
2018-08-30 19:05:17 +0200,209,95.45,757,59.31,,980.10,0,25.77,
2018-08-30 19:05:23 +0200,210,96.54,758,59.32,,980.12,3,25.76,
2018-08-30 19:05:31 +0200,211,96.37,758,59.39,,980.14,3,25.74,
2018-08-30 19:05:38 +0200,212,94.68,758,59.48,,980.12,3,25.73,
2018-08-31 00:24:20 +0200,213,0.00,538,47.98,,981.24,0,25.15,
2018-08-31 00:24:26 +0200,214,0.00,639,47.92,,981.22,0,25.15,
2018-08-31 00:24:32 +0200,215,9.19,725,48.28,,981.26,0,25.10,
2018-08-31 00:24:39 +0200,216,15.15,0,48.79,,981.24,3,25.09,
2018-08-31 00:24:45 +0200,217,21.20,0,47.23,,981.24,3,25.12,
2018-08-31 00:24:51 +0200,218,26.76,720,46.37,,981.26,3,25.12,
2018-08-31 00:24:57 +0200,219,32.51,1084,47.17,,981.26,3,24.82,
2018-08-31 00:25:04 +0200,220,37.21,1090,47.32,,981.30,0,24.71,
2018-08-31 00:25:10 +0200,221,40.53,1117,54.53,,981.32,3,24.86,
2018-08-31 00:25:16 +0200,222,43.22,1612,59.60,,981.34,3,24.89,
2018-08-31 00:25:23 +0200,223,46.82,1851,61.61,,981.38,3,24.89,
2018-08-31 00:25:29 +0200,224,49.57,2012,61.79,,981.38,3,24.88,
2018-08-31 00:25:35 +0200,225,52.73,2030,61.26,,981.36,3,24.91,
2018-08-31 00:25:41 +0200,226,55.43,2036,60.96,,981.38,4,24.94,
2018-08-31 00:25:48 +0200,227,58.34,2030,60.74,,981.38,3,24.89,
2018-08-31 00:25:54 +0200,228,60.69,2021,60.77,,981.40,3,24.89,
2018-08-31 00:26:00 +0200,229,63.00,2009,60.78,,981.38,3,24.88,
